iter	Passed	Remaining
414	697	982
415	698	980
416	700	978
417	701	976
418	703	974
419	704	972
420	705	970
421	707	969
422	709	967
423	710	965
424	711	963
425	713	961
426	714	959
427	716	957
428	717	955
429	719	953
430	720	951
431	721	949
432	723	947
433	724	945
434	726	943
435	727	941
436	729	939
437	730	937
438	731	935
439	733	933
440	734	931
441	736	929
442	737	927
443	739	925
444	740	923
445	742	922
446	743	920
447	745	918
448	746	916
449	748	914
450	749	912
451	751	910
452	752	908
453	754	906
454	755	904
455	756	902
456	758	901
457	759	899
458	761	897
459	762	895
460	764	893
461	765	891
462	767	889
463	768	887
464	770	886
465	771	884
466	773	882
467	774	880
468	776	878
469	777	876
470	778	874
471	780	873
472	781	871
473	783	869
474	784	867
475	786	865
476	787	863
477	789	862
478	790	860
479	792	858
480	793	856
481	795	854
482	796	852
483	798	850
484	799	849
485	801	847
486	802	845
487	803	843
488	805	841
489	806	839
490	808	837
491	809	836
492	811	834
493	812	832
494	814	830
495	815	828
496	817	826
497	818	825
498	820	823
499	821	821
500	822	819
501	824	817
502	825	815
503	827	814
504	828	812
505	830	810
506	831	808
507	833	806
508	834	805
509	836	803
510	837	801
511	838	799
512	840	797
513	841	796
514	843	794
515	844	792
516	846	790
517	847	788
518	849	787
519	850	785
520	852	783
521	853	781
522	855	779
523	856	778
524	858	776
525	859	774
526	860	772
527	862	770
528	863	769
529	865	767
530	866	765
531	868	763
532	869	761
533	871	760
534	872	758
535	873	756
536	875	754
537	876	753
538	878	751
539	879	749
540	881	747
541	882	745
542	884	744
543	885	742
544	887	740
545	888	738
546	890	737
547	891	735
548	893	733
549	894	731
550	896	730
551	897	728
552	898	726
553	900	724
554	901	723
555	903	721
556	904	719
557	906	717
558	907	716
559	909	714
560	910	712
561	912	710
562	913	709
563	915	707
564	916	705
565	918	703
566	919	702
567	920	700
568	922	698
569	923	696
570	925	695
571	926	693
572	928	691
573	929	689
574	931	688
575	932	686
576	934	684
577	935	683
578	937	681
579	938	679
580	939	677
581	941	676
582	942	674
583	944	672
584	945	670
585	947	669
586	948	667
587	950	665
588	951	664
589	953	662
590	954	660
591	956	658
592	957	657
593	959	655
594	960	653
595	962	652
596	963	650
597	965	648
598	966	647
599	967	645
600	969	643
601	970	641
602	972	640
603	973	638
604	975	636
605	976	635
606	978	633
607	979	631
608	981	629
609	982	628
610	984	626
611	985	624
612	987	623
613	988	621
614	989	619
615	991	618
616	992	616
617	994	614
618	995	612
619	997	611
620	998	609
621	1000	607
622	1001	606
623	1003	604
624	1004	602
625	1006	601
626	1007	599
627	1009	597
628	1010	596
629	1012	594
630	1013	592
631	1015	591
632	1016	589
633	1017	587
634	1019	585
635	1020	584
636	1022	582
637	1023	580
638	1025	579
639	1026	577
640	1028	575
641	1029	574
642	1031	572
643	1032	570
644	1034	569
645	1035	567
646	1037	565
647	1038	564
648	1040	562
649	1041	560
650	1042	559
651	1044	557
652	1045	555
653	1047	554
654	1048	552
655	1050	550
656	1051	549
657	1053	547
658	1054	545
659	1055	543
660	1057	542
661	1059	540
662	1060	539
663	1061	537
664	1063	535
665	1064	534
666	1066	532
667	1067	530
668	1069	529
669	1070	527
670	1072	525
671	1073	524
672	1075	522
673	1076	520
674	1078	519
675	1079	517
676	1081	515
677	1082	514
678	1083	512
679	1085	510
680	1086	509
681	1088	507
682	1089	505
683	1091	504
684	1092	502
685	1094	500
686	1095	499
687	1097	497
688	1098	495
689	1100	494
690	1101	492
691	1103	490
692	1104	489
693	1106	487
694	1107	486
695	1108	484
696	1110	482
697	1111	481
698	1113	479
699	1114	477
700	1116	476
701	1117	474
702	1119	472
703	1120	471
704	1122	469
705	1123	467
706	1125	466
707	1126	464
708	1127	462
709	1129	461
710	1130	459
711	1132	458
712	1133	456
713	1135	454
714	1136	453
715	1138	451
716	1139	449
717	1140	448
718	1142	446
719	1143	444
720	1145	443
721	1146	441
722	1148	439
723	1149	438
724	1151	436
725	1152	434
726	1154	433
727	1155	431
728	1156	430
729	1158	428
730	1159	426
731	1161	425
732	1162	423
733	1164	421
734	1165	420
735	1167	418
736	1168	417
737	1170	415
738	1171	413
739	1173	412
740	1174	410
741	1176	408
742	1177	407
743	1178	405
744	1180	404
745	1181	402
746	1183	400
747	1184	399
748	1186	397
749	1187	395
750	1189	394
751	1191	392
752	1192	391
753	1194	389
754	1195	387
755	1196	386
756	1198	384
757	1200	383
758	1201	381
759	1202	379
760	1204	378
761	1205	376
762	1207	374
763	1208	373
764	1210	371
765	1211	370
766	1213	368
767	1214	366
768	1215	365
769	1217	363
770	1218	362
771	1220	360
772	1221	358
773	1223	357
774	1224	355
775	1226	353
776	1227	352
777	1229	350
778	1230	349
779	1231	347
780	1233	345
781	1234	344
782	1236	342
783	1237	341
784	1239	339
785	1240	337
786	1242	336
787	1243	334
788	1244	332
789	1246	331
790	1247	329
791	1249	328
792	1250	326
793	1252	324
794	1253	323
795	1255	321
796	1256	320
797	1258	318
798	1259	316
799	1261	315
800	1262	313
801	1263	312
802	1265	310
803	1266	308
804	1268	307
805	1269	305
806	1271	304
807	1272	302
808	1273	300
809	1275	299
810	1276	297
811	1278	295
812	1279	294
813	1281	292
814	1282	291
815	1284	289
816	1285	287
817	1287	286
818	1288	284
819	1290	283
820	1291	281
821	1293	280
822	1294	278
823	1295	276
824	1297	275
825	1298	273
826	1300	272
827	1301	270
828	1303	268
829	1304	267
830	1306	265
831	1307	264
832	1309	262
833	1310	260
834	1312	259
835	1313	257
836	1314	256
837	1316	254
838	1317	252
839	1319	251
840	1320	249
841	1322	248
842	1323	246
843	1325	244
844	1326	243
845	1328	241
846	1329	240
847	1331	238
848	1332	236
849	1333	235
850	1335	233
851	1336	232
852	1338	230
853	1339	229
854	1341	227
855	1342	225
856	1344	224
857	1345	222
858	1347	221
859	1348	219
860	1350	217
861	1351	216
862	1352	214
863	1354	213
864	1355	211
865	1357	210
866	1358	208
867	1360	206
868	1361	205
869	1363	203
870	1364	202
871	1365	200
872	1367	198
873	1368	197
874	1370	195
875	1371	194
876	1373	192
877	1374	191
878	1376	189
879	1377	187
880	1379	186
881	1380	184
882	1382	183
883	1383	181
884	1384	179
885	1386	178
886	1387	176
887	1389	175
888	1390	173
889	1392	172
890	1393	170
891	1395	168
892	1396	167
893	1398	165
894	1399	164
895	1400	162
896	1402	161
897	1403	159
898	1405	157
899	1406	156
900	1408	154
901	1409	153
902	1411	151
903	1412	150
904	1413	148
905	1415	146
906	1416	145
907	1418	143
908	1419	142
909	1421	140
910	1422	138
911	1424	137
912	1425	135
913	1427	134
914	1428	132
915	1430	131
916	1431	129
917	1433	128
918	1434	126
919	1436	124
920	1437	123
921	1438	121
922	1440	120
923	1441	118
924	1443	117
925	1444	115
926	1446	113
927	1447	112
928	1449	110
929	1450	109
930	1452	107
931	1453	106
932	1455	104
933	1456	102
934	1457	101
935	1459	99
936	1460	98
937	1462	96
938	1463	95
939	1465	93
940	1466	91
941	1468	90
942	1469	88
943	1471	87
944	1472	85
945	1474	84
946	1475	82
947	1477	81
948	1478	79
949	1480	77
950	1481	76
951	1483	74
952	1484	73
953	1486	71
954	1487	70
955	1489	68
956	1490	66
957	1492	65
958	1493	63
959	1495	62
960	1496	60
961	1497	59
962	1499	57
963	1500	56
964	1502	54
965	1503	52
966	1505	51
967	1506	49
968	1508	48
969	1509	46
970	1511	45
971	1512	43
972	1514	42
973	1515	40
974	1517	38
975	1518	37
976	1519	35
977	1521	34
978	1522	32
979	1524	31
980	1525	29
981	1527	27
982	1528	26
983	1530	24
984	1531	23
985	1532	21
986	1534	20
987	1535	18
988	1537	17
989	1538	15
990	1540	13
991	1541	12
992	1543	10
993	1544	9
994	1546	7
995	1547	6
996	1548	4
997	1550	3
998	1551	1
999	1553	0
