iter	Logloss
0	0.6926633398
1	0.6922192464
2	0.6918005795
3	0.6913816607
4	0.6909176921
5	0.6905647331
6	0.6901385663
7	0.6896839833
8	0.6891947003
9	0.6887909584
10	0.688341979
11	0.6880875429
12	0.6876716107
13	0.6872662318
14	0.6870517568
15	0.6868346845
16	0.6866071403
17	0.6863135518
18	0.6861385074
19	0.6859733064
20	0.6857935773
21	0.6855311477
22	0.6854683822
23	0.6853218853
24	0.6850095785
25	0.6847027186
26	0.6846381882
27	0.6843787135
28	0.6843206126
29	0.6842171086
30	0.684117618
31	0.6839836611
32	0.6838492012
33	0.6836349865
34	0.6834141328
35	0.6831835529
36	0.6829528943
37	0.6827449648
38	0.6824456971
39	0.6822469019
40	0.6819740233
41	0.6819299174
42	0.6817362604
43	0.681617229
44	0.6813511169
45	0.6812907922
46	0.6810286533
47	0.6810058862
48	0.6809252852
49	0.6808603775
50	0.6807215713
51	0.6805997247
52	0.6804410259
53	0.6804242717
54	0.6803432143
55	0.6802847381
56	0.6802563637
57	0.6801225283
58	0.6800972586
59	0.6799475633
60	0.6798021589
61	0.67965793
62	0.679587556
63	0.6794758429
64	0.6793812329
65	0.679163016
66	0.67896918
67	0.6788502221
68	0.6787673001
69	0.6787007863
70	0.6785115059
71	0.6785044245
72	0.6783500126
73	0.6781810894
74	0.6780228242
75	0.6779453853
76	0.6778434456
77	0.6776985792
78	0.6775782068
79	0.6774611331
80	0.6773207971
81	0.6771845473
82	0.677032124
83	0.6769118363
84	0.6767901399
85	0.6766509581
86	0.6765190007
87	0.6764609807
88	0.6764462348
89	0.6762637263
90	0.6761256767
91	0.6760056282
92	0.6758931968
93	0.6758060114
94	0.6756960937
95	0.6756013444
96	0.6754542524
97	0.6753493343
98	0.6752180873
99	0.6752148647
100	0.6750999401
101	0.6750792767
102	0.6749725902
103	0.674869207
104	0.6747652328
105	0.6746323454
106	0.6746142189
107	0.674509117
108	0.6743609487
109	0.6742930003
110	0.6741969354
111	0.6740891779
112	0.6739998606
113	0.6739365207
114	0.6738958279
115	0.6737695976
116	0.673747221
117	0.6736845369
118	0.6735948181
119	0.6735768387
120	0.6734535492
121	0.6734438633
122	0.6733654174
123	0.6732745714
124	0.6731566693
125	0.6730944403
126	0.673009071
127	0.6729399514
128	0.6729255078
129	0.67286468
130	0.6727316758
131	0.6726601373
132	0.672571323
133	0.6724799206
134	0.6723573382
135	0.6723260116
136	0.6722451147
137	0.6722054354
138	0.6721075707
139	0.6720645581
140	0.6720147548
141	0.6720047336
142	0.6718597392
143	0.6718506543
144	0.6717347464
145	0.6716431841
146	0.6716330024
147	0.671547237
148	0.6715007665
149	0.6714016771
150	0.671317447
151	0.6713172709
152	0.671280012
153	0.6711016912
154	0.6710051491
155	0.6709621505
156	0.6708708777
157	0.6708700608
158	0.6708649004
159	0.670808003
160	0.6707225883
161	0.6707002252
162	0.6706134746
163	0.6705499376
164	0.6705492028
165	0.6704517628
166	0.6704096171
167	0.6702948463
168	0.6702087633
169	0.6701065505
170	0.6700019159
171	0.6699158753
172	0.6698600816
173	0.6697651625
174	0.6696845996
175	0.6695765244
176	0.6695514302
177	0.6694276774
178	0.6693212201
179	0.6692324972
180	0.6691620265
181	0.6690845938
182	0.6690778657
183	0.6690775431
184	0.6690139462
185	0.6689496349
186	0.668822675
187	0.6687774688
188	0.6687025371
189	0.6686587442
190	0.668590821
191	0.6684732834
192	0.6684723166
193	0.6683513044
194	0.6683516783
195	0.6682574441
196	0.668140745
197	0.6680671731
198	0.6680063169
199	0.6679472656
200	0.6678358706
201	0.6677571669
202	0.6677095832
203	0.667693406
204	0.6676108517
205	0.6675436739
206	0.6674775258
207	0.6674218969
208	0.667288605
209	0.6671955943
210	0.6671525954
211	0.6670632865
212	0.6670145429
213	0.6669186329
214	0.6668925643
215	0.6668850015
216	0.6668132021
217	0.6667262699
218	0.666721698
219	0.6665700314
220	0.6665112647
221	0.6663910609
222	0.6663420358
223	0.6662805825
224	0.6662166868
225	0.6661205305
226	0.666082659
227	0.6660592941
228	0.6659618394
229	0.6658481482
230	0.6657827918
231	0.6656772708
232	0.6655821481
233	0.6654700316
234	0.6654100625
235	0.665400067
236	0.6653537689
237	0.6652377098
238	0.6652317339
239	0.6651754793
240	0.665081285
241	0.6649832955
242	0.664977158
243	0.6648988761
244	0.664774377
245	0.6647610878
246	0.6647298276
247	0.6646413652
248	0.6646060079
249	0.6645526391
250	0.6644703325
251	0.6643638326
252	0.6643471947
253	0.6642566253
254	0.6641950504
255	0.6641124979
256	0.6640360549
257	0.6640239279
258	0.6640219412
259	0.6639785433
260	0.6638618788
261	0.6638164207
262	0.6637498389
263	0.6636633109
264	0.6635828511
265	0.6634947296
266	0.6633796492
267	0.6632598676
268	0.6631405051
269	0.6631406122
270	0.6630923457
271	0.6630335757
272	0.6629351416
273	0.662868523
274	0.662802937
275	0.6627996316
276	0.6627117964
277	0.6626924991
278	0.662626553
279	0.6624545581
280	0.6623977171
281	0.6622907912
282	0.662256779
283	0.6622202574
284	0.6621441751
285	0.6620480497
286	0.6619581291
287	0.6618459266
288	0.6618035593
289	0.6617335298
290	0.6616867965
291	0.6616245404
292	0.6615598787
293	0.6615053196
294	0.6614484785
295	0.6613227559
296	0.6612454743
297	0.6611543802
298	0.6610599182
299	0.6610394237
300	0.6609299281
301	0.6608517927
302	0.6608096012
303	0.6607559055
304	0.660715121
305	0.6606126254
306	0.6605398587
307	0.6604783199
308	0.6604160025
309	0.6603437943
310	0.6603248768
311	0.6602760676
312	0.6601924897
313	0.6601051782
314	0.6599969582
315	0.659927207
316	0.6598629315
317	0.65983863
318	0.6597381538
319	0.6596781649
320	0.6596356368
321	0.6595579263
322	0.6594872697
323	0.659370316
324	0.659300956
325	0.6592456955
326	0.6591787939
327	0.6590747446
328	0.6590122524
329	0.6589105702
330	0.658838821
331	0.6587530525
332	0.6586736705
333	0.6586137416
334	0.6585062825
335	0.6584462609
336	0.6583253969
337	0.6582033249
338	0.658119939
339	0.6579992989
340	0.6579150091
341	0.6578086607
342	0.6577166664
343	0.6576326469
344	0.6575774556
345	0.6575152414
346	0.6574092363
347	0.6572787949
348	0.657186277
349	0.6571152761
350	0.6569890361
351	0.6569289721
352	0.6568343256
353	0.6567534258
354	0.6566730031
355	0.6565980264
356	0.656534086
357	0.6564366544
358	0.6563604225
359	0.6562952203
360	0.6561814145
361	0.6561260673
362	0.6560335544
363	0.6559291623
364	0.6558262057
365	0.6557580979
366	0.6556885233
367	0.6556013527
368	0.6555059427
369	0.6554065494
370	0.6552999676
371	0.6552220776
372	0.6551358305
373	0.6549888658
374	0.6549308536
375	0.6548709944
376	0.6548117363
377	0.6547279946
378	0.6546578292
379	0.6545900739
380	0.6545420084
381	0.6544601124
382	0.6543073063
383	0.6542159076
384	0.6541465401
385	0.6540101573
386	0.6538457637
387	0.6537431113
388	0.6536458461
389	0.6535385397
390	0.6534314132
391	0.6533748039
392	0.6532852435
393	0.653200804
394	0.6530991378
395	0.6529895291
396	0.6529335358
397	0.6528829594
398	0.6527880912
399	0.6526502843
400	0.652560507
